name,meaning,period
number_of_supply1,"количество предложений первички, единиц",месячный
number_of_supply2,"количество предложений вторички, единиц",месячный
price_dynamic1,"динамика цен первички за кв.м., руб",месячный
price_dynamic2,"динамика цен вторички за кв.м., руб",месячный
mean_sqm_price1,"средняя стоимость кв.м. первички, руб",месячный
mean_sqm_price2,"средняя стоимость кв.м. вторички, руб",месячный
exp_time,"средний срок экспозиции вторички, дней",месячный
ipc_all_month,ИПЦ по всем товарам и услугам к предыдущему месяцу,месячный
ipc_all_year,ИПЦ по всем товарам и услугам к тому же периоду предыдущего года,месячный
ipc_goods_month,ИПЦ по всем товарам к предыдущему месяцу,месячный
ipc_goods_year,ИПЦ по всем товарам к тому же периоду предыдущего года,месячный
ipc_build_month,ИПЦ по строительным материалам к предыдущему месяцу,месячный
ipc_build_year,ИПЦ по строительным материалам к тому же периоду предыдущего года,месячный
miacr,"миакр, %",месячный
ipc_base,ИПЦ по всей России базисный,месячный
ipc_chain,ИПЦ по всей России цепной,месячный
interest_rate,"ключевая процентная ставка, %",квартальный
inc_per_capita,"среднедушевые денежные доходы, руб",квартальный
invest_residue,"суммарные остатки прямых инвестиций в РФ по регионам, млрд.долл.",квартальный
debts,"ссуды и займы, предоставленные российскими финансовыми организациями (кроме банков), нефинансовыми организациями, домохозяйствами нерезидентами по регонам, млрд.долл.",квартальный
