Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
Нояб. '20,3107,"2.681,19","3.150,78","2.658,49",-,15.50%
Окт. '20,2690,"2.911,08","2.919,25","2.664,44",-,-7.41%
Сент. '20,2905,"2.976,07","3.002,25","2.857,78",-,-2.04%
Авг. '20,2966,"2.917,68","3.090,42","2.911,19",-,1.88%
Июль '20,2911,"2.762,56","2.919,35","2.703,35",-,6.14%
Июнь '20,2743,"2.761,23","2.835,06","2.670,41",-,0.31%
Май '20,2734,"2.623,89","2.796,85","2.564,44",-,3.18%
Апр. '20,2650,"2.465,56","2.713,50","2.431,98",-,5.65%
Март '20,2508,"2.829,47","2.875,30","2.073,87",-,-9.92%
Февр. '20,2785,"3.062,27","3.145,15","2.744,18",-,-9.48%
Янв. '20,3076,"3.059,20","3.226,89","3.057,36",-,1.01%
Дек. '19,3045,"2.937,69","3.060,20","2.875,50",-,3.76%
Нояб. '19,2935,"2.895,47","3.009,11","2.886,59",-,1.43%
